id,participant_id,scale,item,item_id,item_type,version,condition,trial_index,response,reaction_time
439,33,IRQ,25,25,critical,,,933,1,6611.0
440,33,IRQ,38,38,catch,,,934,5,3895.0
441,33,IRQ,31,31,critical,,,935,5,4571.0
442,33,IRQ,30,30,critical,,,936,5,7430.0
443,33,IRQ,9,9,critical,,,937,3,6564.0
444,33,IRQ,28,28,critical,,,938,5,5344.0
445,31,IRQ,27,27,critical,,,900,2,18493.0
446,31,IRQ,19,19,critical,,,901,3,6049.0
447,31,IRQ,13,13,critical,,,902,3,8305.0
448,31,IRQ,5,5,critical,,,903,4,12593.0
449,31,IRQ,4,4,critical,,,904,3,5599.0
450,31,IRQ,14,14,critical,,,905,4,4237.0
451,31,IRQ,8,8,critical,,,906,4,9655.0
452,31,IRQ,30,30,critical,,,907,5,14726.0
453,31,IRQ,15,15,critical,,,908,3,7343.0
454,31,IRQ,6,6,critical,,,909,4,4861.0
455,31,IRQ,9,9,critical,,,910,4,5264.0
456,31,IRQ,21,21,critical,,,911,3,6317.0
457,31,IRQ,36,36,critical,,,912,5,8773.0
458,31,IRQ,11,11,critical,,,913,5,11890.0
459,31,IRQ,33,33,critical,,,914,1,18076.0
460,31,IRQ,39,39,catch,,,915,1,6377.0
461,31,IRQ,24,24,critical,,,916,4,8928.0
462,31,IRQ,16,16,critical,,,917,4,5970.0
463,31,IRQ,22,22,critical,,,918,4,4222.0
464,31,IRQ,37,37,catch,,,919,1,3950.0
465,31,IRQ,20,20,critical,,,920,4,20274.0
466,31,IRQ,10,10,critical,,,921,1,20593.0
467,31,IRQ,38,38,catch,,,922,5,11472.0
468,31,IRQ,34,34,critical,,,923,2,16713.0
469,31,IRQ,2,2,critical,,,924,4,11226.0
470,31,IRQ,12,12,critical,,,925,5,4138.0
471,31,IRQ,3,3,critical,,,926,3,3141.0
472,31,IRQ,18,18,critical,,,927,5,3613.0
473,31,IRQ,25,25,critical,,,928,3,7893.0
474,31,IRQ,23,23,critical,,,929,4,4500.0
475,31,IRQ,31,31,critical,,,930,4,3682.0
476,31,IRQ,7,7,critical,,,931,5,5272.0
477,31,IRQ,35,35,critical,,,932,2,9090.0
478,31,IRQ,32,32,critical,,,933,5,5276.0
479,31,IRQ,17,17,critical,,,934,5,8058.0
480,31,IRQ,28,28,critical,,,935,5,6392.0
481,31,IRQ,26,26,critical,,,936,5,6404.0
482,31,IRQ,1,1,critical,,,937,5,6630.0
483,31,IRQ,29,29,critical,,,938,5,24599.0
484,36,IRQ,11,11,critical,,,900,4,4968.0
485,36,IRQ,3,3,critical,,,901,4,3032.0
486,36,IRQ,39,39,catch,,,902,1,3950.0
487,36,IRQ,5,5,critical,,,903,4,5536.0
488,36,IRQ,38,38,catch,,,904,5,3054.0
489,36,IRQ,27,27,critical,,,905,3,5720.0
490,36,IRQ,33,33,critical,,,906,2,8261.0
491,36,IRQ,6,6,critical,,,907,3,2510.0
492,36,IRQ,9,9,critical,,,908,3,3425.0
493,36,IRQ,7,7,critical,,,909,3,6628.0
494,36,IRQ,4,4,critical,,,910,3,4150.0
495,36,IRQ,29,29,critical,,,911,4,4026.0
496,36,IRQ,14,14,critical,,,912,4,3220.0
497,36,IRQ,12,12,critical,,,913,5,3899.0
498,36,IRQ,30,30,critical,,,914,5,7848.0
499,36,IRQ,21,21,critical,,,915,4,4128.0
500,36,IRQ,37,37,catch,,,916,1,2723.0
501,36,IRQ,24,24,critical,,,917,3,4432.0
